time,angle
909,88.62
910,88.16
911,88.16
912,87.7
913,88.16
914,88.16
915,88.16
916,88.16
917,87.7
918,87.24
918,89.08
919,90
920,91.38
921,89.54
922,89.08
923,91.38
924,90.46
925,90.92
926,87.7
927,88.16
928,88.62
928,88.62
929,86.79
930,86.79
931,88.16
932,88.62
933,88.62
934,88.16
935,88.62
936,87.7
937,88.16
939,88.16
940,88.16
940,88.62
941,88.16
942,87.24
943,87.7
944,87.7
945,88.62
946,87.7
947,87.7
948,87.7
949,88.16
950,88.16
950,87.7
951,88.62
952,88.62
953,88.62
954,87.7
955,86.33
956,88.16
957,86.79
958,90.46
959,88.16
960,88.62
961,89.08
961,89.54
962,90.92
963,90.92
964,89.08
965,88.16
966,91.38
967,91.38
968,87.7
969,86.33
970,87.24
971,88.16
971,88.62
972,88.16
973,88.62
974,88.16
975,88.16
976,88.16
977,87.7
978,88.16
979,87.7
980,87.7
982,87.7
983,88.62
983,86.33
984,88.16
985,87.7
986,88.62
987,88.16
988,87.24
989,87.7
990,88.16
991,88.16
992,88.16
993,88.62
993,88.16
994,87.7
995,88.16
996,88.16
997,88.62
998,88.16
999,88.16
11000,-0.46
11000,-0.92
11001,-0.46
11002,-0.92
11003,-0.46
11003,-0.92
11004,0
11005,0
11005,-1.38
11006,-0.46
11008,0
11009,-0.46
11009,-0.92
11010,0
11011,0
11011,0
11012,-0.92
11014,-0.46
11015,-0.46
11016,-0.46
11017,-0.46
11018,-0.92
11019,-0.92
11020,-0.92
11021,0
11022,-0.92
11023,-1.38
11024,0
11025,0
11026,0
11027,-0.92
11028,24.8
11029,31.68
11030,29.85
11032,30.77
11033,30.31
11034,24.34
11035,27.09
11036,28.93
11037,23.88
11038,28.93
11039,23.42
11040,19.29
11041,23.88
11042,20.2
11043,17.45
11044,16.07
11046,20.2
11047,19.29
11048,19.29
11049,16.99
11051,16.99
11052,21.58
11053,15.15
11054,17.91
11055,18.37
11056,18.37
11057,17.91
11058,18.37
11060,17.45
11061,17.45
11062,18.37
11063,17.91
11064,17.91
11065,18.37
11066,18.37
11067,18.37
11068,18.83
11069,16.99
11070,19.29
11071,19.29
11072,19.29
11074,17.91
11075,19.74
11076,16.53
11077,18.37
11078,18.37
11079,17.91
11080,19.29
11081,18.83
11082,16.99
11083,18.83
11084,19.29
11085,18.37
11086,18.83
11088,19.29
11089,18.37
11090,17.91
11091,20.2
11092,18.83
11094,18.83
11095,17.91
11096,18.83
11097,19.29
11098,19.74
11099,19.29
11100,19.29
11102,19.74
11103,20.66
11104,19.74
11105,20.2
11106,19.74
11107,19.74
11108,20.66
11109,21.12
11110,21.58
11111,22.04
11112,21.58
11113,22.04
11114,20.66
11116,21.58
11117,22.04
11118,22.5
11119,21.58
11120,22.5
11121,23.42
11122,23.42
11123,23.88
11124,24.8
11125,24.34
11126,24.8
11127,24.8
11128,24.8
11130,25.26
11131,25.26
11132,27.55
11133,27.09
11134,26.63
11136,27.55
11137,27.09
11138,28.93
11139,28.93
11140,28.93
11141,30.31
11142,30.31
11144,30.77
11145,31.22
11146,31.22
11147,31.22
11148,32.14
11149,33.06
11150,33.06
11151,33.06
11152,33.98
11153,32.6
11154,34.44
11155,35.36
11156,34.44
11158,35.36
11159,35.82
11160,36.28
11161,35.82
11162,36.73
11163,36.28
11164,37.19
11165,36.28
11166,37.65
11167,37.65
11168,39.03
11169,38.11
11171,39.03
11172,37.65
11173,39.49
11174,39.03
11175,39.95
11176,39.95
11177,40.41
11179,40.87
11180,40.87
11181,42.24
11182,41.79
11183,41.79
11184,42.24
11186,40.87
11187,43.16
11188,43.16
11189,42.7
11190,44.54
11191,44.08
11192,44.54
11193,45
11194,45.92
11195,45.46
11196,46.38
11197,47.3
11198,47.3
11200,48.21
11201,47.76
11202,47.76
11203,48.21
11204,49.13
11205,49.59
11206,50.05
11207,50.51
11208,51.43
11209,51.43
11210,51.89
11211,50.97
11213,53.27
11214,52.35
11215,52.35
11216,53.72
11217,54.64
11218,54.18
11219,55.56
11220,54.64
11222,55.1
11223,55.1
11224,56.02
11225,56.02
11226,56.48
11228,56.94
11229,56.94
11230,57.86
11231,58.78
11232,59.69
11233,59.23
11234,59.69
11235,60.15
11236,59.69
11237,60.61
11238,60.61
11239,60.61
11240,61.53
11242,61.99
11243,60.61
11244,62.45
11245,62.45
11246,62.91
11247,63.37
11248,63.83
11249,64.29
11250,64.29
11251,65.2
11252,66.12
11253,65.2
11255,65.66
11256,66.58
11257,67.04
11258,67.04
11259,67.96
11260,67.96
11261,67.5
11262,67.96
11264,68.88
11265,69.34
11266,69.8
11267,68.88
11268,69.34
11270,70.26
11271,70.26
11272,71.63
11273,71.17
11274,71.63
11275,71.17
11276,72.09
11277,73.47
11278,73.47
11279,74.39
11280,73.93
11281,74.85
11282,73.01
11284,73.47
11285,74.39
11286,74.39
11287,73.93
11288,72.09
11289,72.09
11290,73.01
11291,73.47
11292,73.93
11293,73.47
11294,75.31
11295,74.85
11297,74.39
11298,75.31
11299,75.77
11300,76.68
11301,76.22
11302,76.68
11303,76.22
11304,77.6
11305,77.6
11307,77.6
11308,79.44
11309,78.98
11310,78.98
11312,78.98
11313,78.98
11314,79.9
11315,79.9
11316,80.82
11317,80.82
11318,81.28
11319,81.28
11320,81.28
11321,81.73
11322,80.36
11323,82.19
11324,82.65
11326,82.65
11327,83.11
11328,83.11
11329,83.57
11330,83.57
11331,83.57
11332,83.57
11333,84.03
11334,84.03
11335,101.02
11336,76.68
11338,84.03
11339,85.41
11340,85.87
11341,84.49
11342,85.87
11343,86.79
11344,87.24
11345,87.7
11346,101.48
11347,107.91
11348,106.53
11351,87.24
11352,105.61
11353,95.51
11354,88.62
11355,89.08
11356,89.54
11357,103.78
11358,89.08
11359,104.69
11361,103.78
11362,106.07
11363,91.38
11364,105.61
11365,105.15
11366,92.76
11367,104.23
11369,88.62
11370,100.56
11371,101.48
11372,91.38
11373,98.72
11374,90
11375,90.92
11376,91.38
11377,95.97
11378,90
11380,90.92
11381,90.92
11382,91.38
11383,92.76
11384,90
11385,90.46
11386,90.92
11387,90.46
11388,88.62
11389,90.46
11390,90
11392,91.38
11393,90
11395,90.46
11396,90
11397,90.92
11398,89.54
11399,89.54
11400,89.08
11401,89.54
11402,89.08
11403,89.08
11404,89.54
11405,89.08
11406,89.08
11408,89.08
11409,87.7
11410,89.08
11411,88.16
11412,88.62
11413,88.62
11414,89.08
11415,91.84
11416,87.7
11417,89.54
11418,89.54
11419,92.76
11420,89.54
11422,88.62
11423,89.08
11424,91.38
11425,88.16
11426,88.62
11427,87.7
11428,94.59
11429,88.16
11430,87.7
11431,89.08
11432,92.3
11433,94.13
11435,88.16
11437,89.08
11438,92.76
11439,86.79
11440,88.62
11441,89.54
11442,88.16
11443,88.62
11444,88.62
11445,89.08
11446,88.16
11447,88.62
11448,87.7
11450,88.62
11451,88.62
11452,89.54
11453,89.08
11454,89.54
11455,88.62
11456,89.08
11457,88.62
11458,87.7
11459,89.08
11460,89.08
11461,89.08
11462,89.08
11464,89.08
11465,90
11466,89.54
11467,89.54
11468,89.08
11469,89.08
11470,89.54
11471,89.08
11472,89.08
11473,89.08
11474,88.62
11475,89.54
11476,89.08
11479,89.08
11480,89.08
11481,88.62
11482,88.62
11483,88.62
11484,88.16
11485,88.62
11486,89.08
11487,87.7
11488,88.16
11489,88.16
11490,88.16
11492,88.62
11493,88.16
11494,88.62
11495,88.62
11496,88.16
11497,87.7
11498,88.62
11499,87.7
11500,87.7
11501,87.7
11502,88.16
11503,87.7
11504,88.62
11506,93.21
11507,88.16
11508,88.16
11509,90.46
11510,90.92
11511,87.7
11512,88.16
11513,88.62
11514,91.84
11515,87.24
11516,88.16
11517,87.7
11518,92.3
11521,88.62
11522,87.7
11523,87.7
11524,86.79
11525,88.16
11526,88.16
11527,87.7
11528,88.62
11529,87.7
11530,87.7
11531,88.16
11532,87.7
11534,88.62
11535,87.7
11536,87.7
11537,88.16
11538,86.79
11539,89.08
11540,89.08
11541,87.24
11542,87.7
11543,88.62
11544,88.62
11545,88.62
11546,89.54
11548,86.79
11549,88.16
11550,88.16
11551,89.54
11552,87.7
11553,86.79
11554,88.62
11555,89.08
11556,88.62
11557,88.62
11558,88.16
11559,88.16
11561,89.08
11563,88.16
11564,88.16
11565,89.08
11566,89.08
11567,87.7
11568,87.24
11569,88.16
11570,88.16
11571,88.62
11572,88.16
11573,88.16
11574,90
11576,87.7
11577,88.62
11578,88.16
11579,94.59
11580,88.16
11581,87.7
11582,88.16
11583,92.3
11584,88.62
11585,88.16
11586,88.16
11587,92.76
11588,88.16
11590,87.7
11591,88.62
11592,86.33
11593,87.7
11594,88.16
11595,88.16
11596,89.08
11597,88.62
11598,87.7
11599,88.16
11600,88.16
11601,89.54
11603,88.62
11604,87.24
11606,88.16
11607,88.16
11608,88.16
11609,88.16
11610,87.7
11611,88.16
11612,88.16
11613,88.62
11614,87.7
11615,87.24
11616,88.16
11618,87.7
11619,88.62
11620,88.16
11621,88.16
11622,88.16
11623,88.16
11624,89.54
11625,87.7
11626,88.16
11627,88.16
11628,88.62
11629,88.16
11630,88.62
11632,88.16
11633,88.16
11634,87.24
11635,88.16
11636,87.7
11637,88.16
11638,92.76
11639,88.62
11640,88.16
11641,88.16
11642,90
11643,88.16
11645,88.16
11646,87.7
11648,86.79
11649,88.16
11650,87.7
11651,88.16
11652,90
11653,88.62
11654,87.7
11655,88.62
11656,90
11657,86.79
11658,88.16
11660,88.16
11661,90.92
11662,88.16
11663,87.7
11664,88.62
11665,88.16
11666,89.08
11667,88.62
11668,87.7
11669,87.7
11670,87.7
11671,88.16
11672,87.7
11674,86.79
11675,90.92
11676,88.62
11677,88.16
11678,87.7
11679,90.46
11680,88.16
11681,88.16
11682,87.7
11683,87.7
11684,87.24
11685,88.16
11687,88.62
11688,90.46
11689,90.46
11691,88.16
11692,88.16
11693,88.62
11694,88.16
11695,88.16
11696,88.62
11697,87.7
11698,90.46
11699,88.16
11700,89.08
11702,88.62
11703,90.92
11704,87.7
11705,87.7
11706,87.24
11707,91.38
11708,86.79
11709,89.08
11710,88.16
11711,90.92
11712,88.16
11713,87.7
11714,88.62
11716,88.16
11717,88.62
11718,88.16
11719,88.16
11720,88.16
11721,88.16
11722,88.16
11723,88.16
11724,87.7
11725,88.62
11726,88.16
11727,87.7
11729,88.16
11730,89.08
11731,88.62
11732,88.16
11734,86.79
11735,89.54
11736,88.62
11737,88.16
11738,88.16
11739,91.38
11740,88.16
11741,88.16
11742,88.16
11744,89.54
11745,88.62
11746,87.7
11747,87.7
11748,90.92
11749,86.79
11750,87.7
11751,88.16
